tag,game_id,winner,white,black,half_turns,engine1_pieces,engine2_pieces,engine1_time,engine2_time,end_state
base_1_4_8000,1,1,1,2,97,9,3,21.40,384.55,rk1R4/7R/8/5Np1/P3P3/2P3P1/2K2P2/8 b - - 6 49
base_1_4_8000,2,2,2,1,109,6,5,11.93,440.48,7k/p6R/4KNpp/2p5/1p6/1P5P/8/8 b - - 1 55
base_1_4_8000,3,1,1,2,43,14,8,8.09,168.16,rnbB4/1pk2p2/3Rp3/p7/4N1B1/4P3/PPP2PPP/2K3NR b - - 2 22
base_1_4_8000,4,2,2,1,59,11,10,33.38,240.30,1r1r4/p1p2q1p/b1np1N1k/p7/2P1P1R1/2B1Q1P1/4B3/R5K1 b - - 0 30
base_1_4_8000,5,1,1,2,59,12,4,10.38,232.36,1nk1R2N/6QN/p7/2p5/1PP5/8/2P2PPP/2KR4 b - - 1 30
base_1_4_8000,6,2,2,1,41,11,13,20.66,168.27,N1Q1k2r/pp1p1ppp/4pn2/2B5/4PP2/P5Pq/1P2B2P/R3K2R b - - 0 21
base_1_4_8000,7,2,1,2,80,5,5,21.55,320.42,8/3k2B1/7p/8/Pn4b1/2P1q1P1/8/3K4 w - - 1 41
base_1_4_8000,8,2,2,1,43,11,11,16.29,176.20,r4rk1/1b1n1p1R/2p1p3/pp1p4/1P1P4/P2BP1R1/2PQ1P2/1K6 b - - 0 22
base_1_4_8000,9,2,1,2,70,8,11,16.14,280.36,2r3kr/1p3p2/p3p1p1/6bp/1Pq5/P1K5/1QP4P/1R2R3 w - - 0 36
base_1_4_8000,10,2,2,1,47,10,10,11.89,192.22,rnb2r1k/ppp5/1q2p2Q/4P3/2PP4/3B2R1/P4P2/R3K3 b Q - 0 24
base_1_4_8000,11,1,1,2,55,12,5,19.55,216.29,k7/3bP2p/4pQ1B/R7/1R1p4/3B1N2/P3NPKP/8 b - - 1 28
base_1_4_8000,12,2,2,1,83,9,11,24.13,336.37,2b3rb/4Q1k1/1pN1p2p/1P1p1pNB/3P1P1P/6P1/8/2R3K1 b - - 2 42
base_1_4_8000,13,2,1,2,54,11,11,13.86,216.19,r1b3k1/1p3p2/3P2pQ/pPr5/n1p3P1/7P/Kq3P2/3R1BNR w - - 2 28
base_1_4_8000,14,2,2,1,77,7,6,29.64,312.57,7k/5pQp/p1p4P/2N1p3/8/3p2P1/5K2/5B2 b - - 1 39
base_1_4_8000,15,2,1,2,162,1,5,14.02,648.80,8/8/2k5/7p/2K1r1b1/5r2/8/8 w - - 6 82
base_1_4_8000,16,2,2,1,29,13,14,9.57,120.15,r1b1r2k/pppp1pQ1/4p2B/2qnP3/1b3P2/2N5/PPP3PP/R3KB1R b KQ - 6 15
base_1_4_8000,17,1,1,2,109,7,2,19.59,432.48,8/1R2N3/3N1kR1/4p3/3P3P/8/3K4/8 b - - 3 55
