tag,game_id,winner,white,black,half_turns,engine1_pieces,engine2_pieces,engine1_time,engine2_time,end_state
base_1_4_8000,1,1,1,2,75,9,6,16.06,296.36,r6b/3R4/2N4R/p3pkp1/4N1P1/2P1KP2/P7/8 b - g3 0 38
base_1_4_8000,2,2,2,1,111,6,7,23.22,448.51,8/p6R/2p3pk/5pN1/5P2/5P1p/2K3PP/8 b - - 1 56
base_1_4_8000,3,2,1,2,60,10,7,11.17,240.31,5k2/5p2/Q3p3/4P1p1/3p3P/6B1/1qr2PP1/K2R2NR w - - 3 31
base_1_4_8000,4,1,2,1,90,10,3,19.92,360.42,r5k1/p6p/1P1pp3/8/1p2b3/1Pn5/1K6/1r6 w - - 1 46
base_1_4_8000,5,2,1,2,44,8,13,8.39,176.22,5rk1/p3ppbp/6p1/2pp1b2/3PP3/7P/1r3PP1/2q1KB1R w - - 0 23
base_1_4_8000,6,1,2,1,88,12,5,17.00,352.48,r3k3/1p4p1/2p5/p2pp3/P4pb1/2PnK3/1B6/R2r4 w q - 0 45
base_1_4_8000,7,1,1,2,97,8,1,21.78,384.67,4Q3/5N2/4k3/3N4/4P3/PR5P/8/6K1 b - - 4 49
base_1_4_8000,8,2,2,1,97,9,9,37.44,392.47,r7/6Qk/1r6/1p1p1p2/4pP1p/P3q2P/1B2N1P1/R4K2 b - - 2 49
base_1_4_8000,9,1,1,2,65,11,5,21.26,256.34,r6k/1b1R3N/5BR1/p6p/8/1P6/1P1N1PPP/6K1 b - - 3 33
base_1_4_8000,10,2,2,1,67,7,9,47.10,272.44,rn3kr1/4RR2/p4p2/QP1p4/2N3P1/3B4/5PK1/8 b - - 2 34
base_1_4_8000,11,1,1,2,61,10,7,14.23,240.34,3R1B2/1r1R4/1pk2P2/8/p1PN2pp/1r6/5PPP/6K1 b - - 6 31
base_1_4_8000,12,2,2,1,47,12,13,15.97,192.28,rk5r/pp1B2bp/3QN1pn/P1p2p2/7P/6P1/1PqP1P2/R1B2RK1 b - - 6 24
base_1_4_8000,13,1,1,2,81,8,5,11.41,320.47,2bk1R2/3p4/2pP2N1/K1P5/7p/2N5/P6P/8 b - - 4 41
base_1_4_8000,14,1,2,1,90,9,6,26.58,360.40,1r6/2n2kb1/8/5n2/1p1N1Pp1/6P1/2PB1K1r/7q w - - 2 46
base_1_4_8000,15,2,1,2,68,7,9,18.69,272.30,1k4r1/1p6/p2p2b1/4rn2/8/2P3PQ/4q2P/3RK2R w - - 0 35
base_1_4_8000,16,2,2,1,71,8,8,12.08,288.42,8/p1p4p/2q1pQrk/8/6N1/P1P3Np/5PP1/6K1 b - - 9 36
base_1_4_8000,17,2,1,2,92,6,6,7.14,368.49,8/5pp1/p7/P2qKPb1/P1k3P1/8/7P/8 w - - 9 47
base_1_4_8000,18,2,2,1,93,5,7,13.71,376.53,2R1kr2/p2R3b/8/8/1K1Pp3/1P2P2B/8/8 b - - 0 47
base_1_4_8000,19,2,1,2,82,10,7,24.78,328.46,6Q1/kp6/p1p5/2P3b1/8/2P1N1P1/P2q1r1P/5KNR w - - 0 42
base_1_4_8000,20,1,2,1,54,12,7,5.72,216.29,r3k3/p1pp2R1/bpn1p3/5p2/P2P4/1N2P3/2B4r/3K1q2 w q - 0 28
base_1_4_8000,21,2,1,2,92,3,6,10.91,368.40,4k3/1p6/3B4/3b3p/3p4/6PK/8/7q w - - 4 47
base_1_4_8000,22,2,2,1,51,11,9,11.61,208.27,rnb4r/ppp2Qpp/6k1/4R1P1/n1B5/B7/P4P2/R3K3 b Q - 2 26
base_1_4_8000,23,0,1,2,105,11,6,16.47,416.50,1rN2N2/6pk/R4p1p/1P1BP1b1/8/6P1/1P5P/5RK1 b - - 49 53
base_1_4_8000,24,2,2,1,57,9,7,12.11,232.26,2R1kbn1/4p1p1/3pQp2/1p6/6p1/7P/1P1B1P1K/8 b - - 0 29
base_1_4_8000,25,1,1,2,113,6,4,19.05,448.59,8/7p/3R4/p1R2K2/rP1k4/5P2/5P2/8 b - - 0 57
base_1_4_8000,26,2,2,1,43,13,12,19.81,176.20,r1b1kQnr/p2p2p1/1pn1N2p/6q1/2p1P3/P6P/1P3PP1/3RKB1R b K - 5 22
base_1_4_8000,27,2,1,2,70,5,8,20.51,280.35,4k3/6pB/p3p1P1/8/7b/5b1P/5r2/r3K1R1 w - - 2 36
base_1_4_8000,28,2,2,1,29,15,14,4.28,120.12,r1bq1r2/ppp1npp1/2n1p3/b3pk1P/3PN3/P1N2Q2/1PP2PP1/R1B1K2R b KQ - 4 15
base_1_4_8000,29,2,1,2,74,8,8,16.38,296.38,6k1/5p2/8/p6p/5r2/Pr6/1bb1PKPP/4RBR1 w - - 0 38
base_1_4_8000,30,1,2,1,104,10,3,28.99,416.47,4kb2/5p1p/6r1/1pp1p3/8/3q4/1P6/r1K2R2 w - - 7 53
base_1_4_8000,31,2,1,2,60,11,13,10.03,240.30,5k2/p2bbp2/B5pr/1p1p4/6Kp/3pqN2/PPnN2PP/1RQ4R w - - 8 31
base_1_4_8000,33,2,1,2,40,11,7,16.58,160.12,5k1r/5p1p/6p1/3P4/8/2b5/P2RPPPP/1r2KBNR w K - 2 21
base_1_4_8000,34,2,2,1,53,10,8,6.70,216.29,rn2R1bk/ppp2N1p/3p3B/5p2/2P5/3P4/5PP1/4K3 b - - 3 27
base_1_4_8000,35,1,1,2,73,10,2,11.80,288.36,R2k4/1R6/8/3B4/p2N4/6P1/P3PP1P/6K1 b - - 5 37
base_1_4_8000,36,1,2,1,142,6,2,29.70,568.65,8/p7/5k2/1p1r4/2q5/8/3K1bN1/8 w - - 4 72
base_1_4_8000,37,2,1,2,74,9,8,16.32,296.34,8/4kp2/p3b1p1/N3p3/PP2P2p/R7/5PPP/3r3K w - - 0 38
base_1_4_8000,38,1,2,1,86,12,1,6.28,344.36,5rk1/p5pp/3pp3/p7/8/n4b2/5K2/1r4q1 w - - 4 44
base_1_4_8000,39,2,1,2,42,12,10,10.66,168.22,1r3b1r/2p2k2/5p2/3n1b1p/3P4/2K1B3/q2NPPPP/3R1BNR w - - 0 22
base_1_4_8000,40,2,2,1,61,10,9,19.01,248.38,rn3k1r/p5p1/4Q1P1/3pN2P/2bP4/p1b2R2/P4P2/6K1 b - - 2 31
base_1_4_8000,41,2,1,2,82,6,9,18.87,328.42,8/5p2/b3pk1p/p6P/1b1P4/4nP2/2r5/1NK3R1 w - - 0 42
base_1_4_8000,42,2,2,1,129,4,4,25.32,520.66,7R/7k/5Q2/3K3p/5p2/2p2P2/8/8 b - - 3 65
