tag,gam5_id,winner,white,black,half_turns,engine1_pieces,engine2_pieces,engine1_time,engine2_time,end_state
base_1_5_8000,1,1,1,2,139,8,2,269.94,552.74,7r/5P1P/P6R/3P4/7k/6R1/5PK1/8 b - - 4 70
base_1_5_8000,2,2,2,1,103,3,5,274.45,416.57,5RRk/p7/1p5K/8/P7/7P/8/8 b - - 0 52
base_1_5_8000,3,1,1,2,83,9,3,454.93,328.39,6Q1/p6k/6R1/1P6/3P3p/5P2/P4P1P/7K b - - 2 42
base_1_5_8000,4,1,2,1,78,11,1,296.64,312.40,6r1/p1p2pkp/2p1b3/1r6/8/8/4q3/4K1n1 w - - 6 40
base_1_5_8000,5,1,1,2,53,10,9,234.09,208.26,1R2r2r/p4p1p/4pk2/3p2Q1/2p2P2/2P5/P1P3PP/5RK1 b - - 4 27
base_1_5_8000,6,2,2,1,73,7,7,138.81,296.39,r1r5/6R1/2p2kQ1/p3p3/2P5/3P2P1/2K1P3/7q b - - 4 37
base_1_5_8000,7,1,1,2,73,13,3,461.81,288.37,5k2/5Q2/4B3/p7/4p3/3P1N2/PP3PPP/RN2K2R b KQ - 1 37
base_1_5_8000,8,2,2,1,69,9,6,120.96,280.40,r1bk4/1pppQ1Rp/8/3Pp3/p7/P7/3K1P2/8 b - - 0 35
base_1_5_8000,9,1,1,2,61,9,6,524.08,240.31,3Qk3/5p1p/p1pR4/3n4/4P3/P4P1P/K1P3P1/8 b - - 2 31
base_1_5_8000,10,1,2,1,50,11,7,191.21,200.22,r1b1k3/pp1p1p1p/3p4/7B/1P2n3/P7/3q3P/R3KR2 w q - 2 26
base_1_5_8000,11,1,1,2,115,8,2,437.39,456.59,k4R2/2R5/1B6/p3N3/P7/6P1/1P5K/8 b - - 6 58
base_1_5_8000,12,2,2,1,65,9,6,134.77,264.32,r6k/p6Q/bp5p/3n2r1/4B2p/P7/2PK4/5R2 b - - 4 33
base_1_5_8000,13,2,1,2,110,4,8,574.60,440.51,3kr3/p4p2/1qK2p1p/8/3r4/P5P1/7P/8 w - - 1 56
