tag,game_id,winner,white,black,half_turns,engine1_pieces,engine2_pieces,engine1_time,engine2_time,end_state
turbo1_6_8000,1,1,1,2,91,10,4,140.47,360.59,3Q4/8/R3k2N/2p2pp1/5P2/1P2P3/P1PK4/1R6 b - - 1 46
turbo1_6_8000,2,1,2,1,68,12,5,44.49,272.44,r5k1/p5pp/3p1pb1/p5K1/2n1r3/3nP2P/4RP2/8 w - - 0 35
turbo1_6_8000,3,1,1,2,79,13,2,105.96,312.46,5Q2/6Q1/6k1/B1N4p/8/3PP3/PPP1N2P/5RK1 b - - 0 40
turbo1_6_8000,4,1,2,1,82,9,3,67.65,328.52,r1k5/p3n1pp/8/1P2p3/8/P4q2/8/3rK3 w - - 1 42
turbo1_6_8000,5,1,1,2,95,11,3,90.14,376.48,2Q3Q1/2k5/7R/8/3P4/4p3/PPPP1b2/R1B2K2 b - - 3 48
turbo1_6_8000,6,1,2,1,100,8,3,73.86,400.53,8/4k1pp/4p2P/2p2n2/5P2/5b2/7K/7r w - - 6 51
turbo1_6_8000,7,1,1,2,39,15,8,50.56,152.22,r1bk4/p1p1Q3/1p4p1/2B2P1p/2P5/2N2P2/P1PPN1PP/R3K2R b KQ - 3 20
turbo1_6_8000,8,1,2,1,88,9,3,52.15,352.39,1k6/pp3B2/4p3/3p3p/5P2/2b1n3/6r1/4K3 w - - 15 45
turbo1_6_8000,9,1,1,2,89,11,2,55.32,352.47,k4R2/6R1/6p1/2P5/K3P2B/2N1P3/3P2PP/8 b - - 2 45
turbo1_6_8000,10,1,2,1,52,12,8,64.08,208.25,r3k3/p1pp3p/1p2pQ2/5p2/1b1Kq2P/5bP1/1PPB1P2/8 w q - 4 27
turbo1_6_8000,11,1,1,2,45,13,7,53.81,176.24,3k3r/Np1Q2pp/4p3/p3N3/8/2P5/PP3PPP/R1B1K2R b KQ - 0 23
turbo1_6_8000,12,1,2,1,72,12,4,50.25,288.37,r2k3r/pp2p3/2p3p1/5p2/1b2q1n1/3K2P1/8/R2B4 w - - 4 37
turbo1_6_8000,13,2,1,2,112,9,7,118.79,448.66,1R6/7k/6p1/P1Pp3p/P2Pp3/2NnPq2/8/5KR1 w - - 3 57
turbo1_6_8000,14,1,2,1,88,10,2,68.74,352.51,2k5/5ppp/p3p3/1p2r3/5q2/5P1K/7r/8 w - - 6 45
turbo1_6_8000,15,1,1,2,59,12,7,56.24,232.37,k4r2/R3Np1r/2N2Ppp/p1P5/8/2K5/PPP2PP1/7R b - - 14 30
turbo1_6_8000,16,1,2,1,72,10,2,44.63,288.42,5rk1/p4ppp/2p1p3/8/P1Kb4/2q5/8/8 w - - 3 37
turbo1_6_8000,17,1,1,2,85,10,3,60.90,336.46,2kP4/3R4/3N4/pRp1N3/P1P5/4K3/6PP/8 b - - 6 43
turbo1_6_8000,18,2,2,1,63,12,9,89.52,256.37,rnr3k1/pb1p2Q1/1p6/1P1p1p1N/P6p/5p2/5PPP/3R2K1 b - - 4 32
