tag,game_id,winner,white,black,half_turns,engine1_pieces,engine2_pieces,engine1_time,engine2_time,end_state
turbo2_6_8000,1,1,1,2,71,13,2,72.72,280.29,R2k4/1R6/8/2N1p3/2N5/P3P1P1/P1PP2PP/6K1 b - - 6 36
turbo2_6_8000,2,2,2,1,137,5,3,82.01,552.62,1Q5k/p5pp/2K5/2B2p2/8/8/8/8 b - - 0 69
turbo2_6_8000,3,1,1,2,63,11,4,65.82,248.27,1k6/3p4/QR6/2pN4/1p6/1P2P3/P2P3P/RN4K1 b - - 2 32
turbo2_6_8000,4,1,2,1,56,12,7,38.92,224.27,2k1b3/ppp1b1Kr/4pn2/3r1p1p/8/2B2P1P/1P4P1/4R3 w - - 1 29
turbo2_6_8000,5,1,1,2,45,12,8,48.00,176.19,n4br1/2p3p1/3p3p/1Rk5/3NPB2/P1PP4/P4P1P/4K2R b K - 1 23
turbo2_6_8000,6,1,2,1,82,5,3,62.96,328.37,8/p1p5/2k5/6PP/8/8/2q5/1r5K w - - 3 42
turbo2_6_8000,7,1,1,2,55,13,7,73.27,216.23,4rr2/3n1bQk/3qP2P/5p2/2B2P2/1PN1P3/P1P5/R4KN1 b - - 1 28
turbo2_6_8000,8,1,2,1,98,9,1,68.32,392.40,8/6p1/1kpp1p2/5r2/8/1p1b1K2/8/6q1 w - - 6 50
turbo2_6_8000,9,1,1,2,71,11,3,64.81,280.28,2R1k3/7R/8/4B1pp/4P3/3P4/PP2KPPP/8 b - - 2 36
turbo2_6_8000,10,1,2,1,90,8,2,56.75,360.40,6N1/2p5/2p5/p2k3p/6n1/3Kq3/1r6/8 w - - 6 46
turbo2_6_8000,11,1,1,2,67,10,5,88.39,264.31,5R1k/3R4/7p/p1p5/3P2pP/3P4/PPP3P1/6K1 b - - 1 34
turbo2_6_8000,12,2,2,1,53,10,8,59.99,216.24,rn4kr/pp2Q2p/2p2n1N/4p3/3P3P/1K5R/P7/R7 b - - 0 27
turbo2_6_8000,13,1,1,2,49,12,8,102.26,192.19,r1k4r/p1Q4p/4N1p1/5p2/8/NP2P3/Pb1P1PPP/4K2R b K - 11 25
turbo2_6_8000,14,1,2,1,94,7,1,44.45,376.47,1k6/pr4p1/p3b2q/7K/8/8/8/8 w - - 2 48
turbo2_6_8000,15,1,1,2,63,9,3,64.88,248.26,5Q2/1r6/p5k1/4R3/5N1R/2P2P2/P5P1/2K5 b - - 3 32
turbo2_6_8000,16,1,2,1,122,7,2,113.91,488.59,4k3/8/2pb4/1p3p2/8/K2n4/1r6/7R w - - 4 62
turbo2_6_8000,17,1,1,2,57,12,4,85.16,224.26,1k1r4/1Q6/8/N1p3P1/7p/1P2P3/P2P2PP/R4R1K b - - 0 29
turbo2_6_8000,18,1,2,1,72,13,7,87.87,288.36,rn4k1/p4p1p/2p1r3/4n2p/5PPP/1Pb1PqK1/4b2R/8 w - - 3 37
turbo2_6_8000,19,1,1,2,65,13,8,63.39,256.26,1Qkb4/p2br3/2p3p1/1p6/1P2PB2/N1P5/P4PPP/R2R2K1 b - - 1 33
turbo2_6_8000,20,1,2,1,82,11,3,111.70,328.34,2k1r3/pp4pp/2p5/8/5p1P/5P2/n4K2/4q2q w - - 2 42
turbo2_6_8000,21,1,1,2,101,11,3,123.61,400.50,3Q4/3R3k/N5p1/6Qp/P1P4P/8/1PR3P1/7K b - - 2 51
turbo2_6_8000,22,1,2,1,78,12,4,70.58,312.32,r1b3k1/ppB2p1p/3p4/3p2p1/8/2qB3P/8/3Kr3 w - - 5 40
turbo2_6_8000,23,1,1,2,67,11,7,86.89,264.28,3k3r/3Q1pb1/8/2p2B2/4Pp1p/5P2/P1P2R1P/1R1N3K b - - 1 34
turbo2_6_8000,24,2,2,1,85,7,6,82.91,344.44,r2n3r/p2R4/k7/1Q5p/8/2PB4/4KP2/2q5 b - - 0 43
