tag,game_id,winner,white,black,half_turns,engine1_pieces,engine2_pieces,engine1_time,engine2_time,end_state
turbo3_timed_10000,1,1,1,2,83,12,6,409.41,409.37,8/kQn4p/1r1N4/p6P/PpP5/1P2BP2/5P2/R3R1K1 b - - 2 42
turbo3_timed_10000,2,2,2,1,109,3,4,539.17,549.19,4Qk2/3B2p1/7p/8/6P1/6K1/8/8 b - - 0 55
turbo3_timed_10000,3,1,1,2,71,10,3,359.48,349.51,8/7R/B2R1k2/6p1/2p3P1/4PN2/P1P2K1P/8 b - - 2 36
turbo3_timed_10000,4,1,2,1,88,9,2,439.37,439.38,8/ppp3pk/7p/5b2/8/P7/2r5/1K3q2 w - - 0 45
turbo3_timed_10000,5,1,1,2,55,12,9,279.64,269.62,8/rpQ2Rp1/pk2p1r1/6q1/7p/1PN1P2P/P1PP2P1/R5K1 b - - 13 28
turbo3_timed_10000,6,1,2,1,64,11,5,319.53,319.54,2b2knr/p3p3/6p1/2P5/4P2p/2q2BpP/4K3/4r3 w - - 2 33
turbo3_timed_10000,7,1,1,2,57,15,5,289.54,279.58,8/1Q3R2/1k2P3/p1p5/2B4p/1P2P1bN/P1PP2PP/RN1K4 b - - 6 29
turbo3_timed_10000,8,1,2,1,72,9,4,359.51,359.48,6rr/pp4R1/3k1p2/4p3/4P3/7q/5P2/q5K1 w - - 0 37
turbo3_timed_10000,9,1,1,2,129,13,5,649.02,639.12,3R3k/2Q5/2N2p2/Rp5p/1Pp4P/N1P3P1/PB4P1/7K b - - 2 65
turbo3_timed_10000,10,1,2,1,96,7,2,479.32,479.32,8/3k2pp/5p2/p6P/8/4b3/5q2/5K2 w - - 8 49
turbo3_timed_10000,11,1,1,2,123,6,3,619.05,609.13,5B2/6Q1/6k1/2P3p1/2b3P1/6P1/5K2/8 b - - 6 62
turbo3_timed_10000,12,1,2,1,228,4,1,1138.32,1138.46,8/8/8/6p1/3Kq3/5k2/8/2r5 w - - 4 115
turbo3_timed_10000,13,1,1,2,59,12,8,299.55,289.57,1Q1k1r2/2Nrb1p1/2Q1p3/4p2p/1P2P3/4B3/2P3PP/R4RK1 b - - 0 30
turbo3_timed_10000,14,2,2,1,99,8,5,489.26,499.28,1r3rk1/2R3Qp/p2n2p1/6p1/8/6B1/1P6/6K1 b - - 2 50
turbo3_timed_10000,15,1,1,2,53,14,9,269.60,259.94,nr3rk1/p5Q1/4P1p1/7q/5p1p/P1B1P2P/P1PPN1PK/R4R2 b - - 1 27
turbo3_timed_10000,16,2,2,1,95,9,9,469.31,479.34,5R1R/n2r2k1/1p1p2pB/1PpPp3/p1P1P3/P7/8/4K3 b - - 2 48
turbo3_timed_10000,17,1,1,2,83,8,4,419.35,409.34,8/R6Q/6p1/3p3k/3P1P1p/7P/4N1P1/5K2 b - - 2 42
turbo3_timed_10000,18,1,2,1,116,6,3,579.07,579.23,2k5/8/6p1/1p6/2P5/B4b2/2r5/5K1q w - - 0 59
turbo3_timed_10000,19,1,1,2,79,12,6,399.43,389.43,Q7/8/1k2N2p/RpP5/P3Pp1P/3P4/4NKP1/br5R b - - 0 40
turbo3_timed_10000,20,1,2,1,52,11,7,259.65,259.62,4k1nr/p4ppp/1n4b1/3r4/K1B3PP/4N3/Pq3P2/8 w k - 2 27
turbo3_timed_10000,21,1,1,2,73,9,1,369.42,359.50,4k2R/NR6/4P3/8/8/P3P3/P5P1/4K3 b - - 2 37
turbo3_timed_10000,22,1,2,1,78,10,3,389.44,389.47,4k2r/5ppp/p5n1/P5n1/5bP1/5K2/3r4/8 w k - 3 40
turbo3_timed_10000,23,2,1,2,98,4,8,489.34,489.33,6k1/p1p2p2/P5p1/7n/6KP/5P2/6rr/8 w - - 3 50
turbo3_timed_10000,24,2,2,1,145,3,6,719.02,729.13,5k2/5Q2/3Nn2R/8/1p6/7P/6P1/6K1 b - - 4 73
turbo3_timed_10000,25,1,1,2,73,9,3,369.45,359.52,k2r4/2p5/5P2/4B3/1R2N3/5K2/2PP3P/R7 b - - 2 37
turbo3_timed_10000,26,1,2,1,98,7,2,489.25,489.32,5n2/pp3k2/6bK/P1p4r/8/8/8/8 w - - 1 50
turbo3_timed_10000,27,2,1,2,108,6,6,539.27,539.26,8/4q3/2PK1kp1/1r3p2/3P4/n1P1P3/5R2/8 w - - 12 55
turbo3_timed_10000,28,2,2,1,69,9,8,339.49,349.51,2R3nr/1p2bkpp/4B1b1/6Q1/6PP/r7/4RP2/6K1 b - - 0 35
turbo3_timed_10000,29,0,1,2,124,11,6,619.12,619.19,2b4Q/1p1k4/8/p5p1/8/2P1Pq2/PP1B1P1P/R4R1K w - - 49 63
turbo3_timed_10000,30,2,2,1,123,4,8,609.06,619.17,2k2Q2/2p3K1/1pB5/1P3p2/P4P2/2P3P1/8/8 b - - 4 62
