tag,game_id,winner,white,black,half_turns,engine1_pieces,engine2_pieces,engine1_time,engine2_time,end_state
turbo3_timed_nobook_10000.csv,1,1,1,2,57,12,5,292.03,280.22,7R/8/3Q2nk/3p2p1/3Bb3/1P2P2P/2PP1P1P/5RK1 b - - 4 29
turbo3_timed_nobook_10000.csv,2,1,2,1,64,13,6,319.63,319.62,r4rk1/3n1ppp/8/p1p1p2P/7q/8/2pPnPP1/5RK1 w - - 4 33
turbo3_timed_nobook_10000.csv,3,1,1,2,77,8,5,389.55,379.57,5RQ1/7k/7p/2B5/P2pn3/1P1P4/1KP3b1/8 b - - 2 39
turbo3_timed_nobook_10000.csv,4,1,2,1,122,7,1,609.25,609.28,8/6kp/6p1/p7/n7/8/4r3/2K2q2 w - - 0 62
turbo3_timed_nobook_10000.csv,5,2,1,2,78,9,6,389.54,389.50,3b4/8/P1kNP3/6p1/1BP3r1/4Pb1P/5r2/R6K w - - 1 40
turbo3_timed_nobook_10000.csv,6,1,2,1,88,7,4,439.47,439.50,6k1/1b4pp/8/4p1P1/5P2/6nP/6r1/6K1 w - - 1 45
turbo3_timed_nobook_10000.csv,7,2,1,2,98,4,9,489.39,489.30,8/1kb2p2/1p6/p2P4/b3PPp1/6q1/7r/7K w - - 0 50
turbo3_timed_nobook_10000.csv,8,1,2,1,80,8,5,399.50,399.51,6r1/3pk2p/p7/P3Pp1P/5K2/3P4/3r1q2/8 w - - 2 41
turbo3_timed_nobook_10000.csv,9,1,1,2,75,11,5,379.52,369.55,1rk5/p2QRp2/8/7p/N1N5/1P3P1P/P2P4/R2K4 b - - 3 38
turbo3_timed_nobook_10000.csv,10,1,2,1,82,9,4,409.47,409.54,5rk1/3pn2N/2p1p1p1/8/8/2P4P/6rK/5q2 w - - 0 42
turbo3_timed_nobook_10000.csv,11,1,1,2,87,8,2,439.52,429.40,6k1/6Q1/4N3/8/8/PP1PP2p/7P/6K1 b - - 1 44
turbo3_timed_nobook_10000.csv,12,2,2,1,49,11,9,239.75,249.72,rn2kb2/p3p3/2p2pQp/q7/Pp2P3/8/5PPP/2RR2K1 b q - 0 25
turbo3_timed_nobook_10000.csv,13,1,1,2,57,13,9,289.66,279.65,r1k2r2/1pQ2nb1/p2B4/P6p/2P1P1p1/8/2KPNPPP/R4R2 b - - 8 29
turbo3_timed_nobook_10000.csv,14,1,2,1,46,13,7,229.74,229.77,2krr3/ppp4p/5pp1/5nN1/2P4P/1b3PP1/3p4/n2K3R w - - 1 24
turbo3_timed_nobook_10000.csv,15,1,1,2,79,11,4,399.48,389.54,3r4/2R5/8/r2P3p/8/kRN2P2/P1PPN2P/3K4 b - - 8 40
