tag,game_id,winner,white,black,half_turns,engine1_pieces,engine2_pieces,engine1_time,engine2_time,end_state
turbo4,1,2,1,2,76,7,8,366.79,376.55,1r6/3k4/7p/4p1b1/3p4/P2P1b2/RPK2P2/1Nr5 w - - 0 39
turbo4,2,2,2,1,85,6,6,416.30,426.08,1n3R2/3p3p/1p6/5R2/5k2/6rP/1B5K/4R3 b - - 0 43
turbo4,3,2,1,2,78,8,9,376.67,386.46,3r2k1/5p2/2b2bp1/1q5p/2K1B2P/3pNP1R/6P1/4Q3 w - - 5 40
turbo4,4,1,2,1,116,7,3,565.01,574.70,8/6p1/7P/6p1/p7/k6P/4rqK1/5r2 w - - 0 59
turbo4,5,1,1,2,53,13,9,257.72,257.61,2Q2k2/rp4R1/q2bp2p/p2pB1P1/8/3PP2P/PP1N2PK/2R5 b - - 4 27
turbo4,6,1,2,1,62,11,4,297.31,307.22,3k2nr/5pp1/1p5p/8/1b2q2P/r5P1/5P1K/7r w - - 2 32
turbo4,7,1,1,2,63,11,3,307.24,307.18,8/B4p2/6p1/8/kQ1P4/2P5/1P3PPP/1N1K3R b - - 0 32
turbo4,8,1,2,1,72,9,4,337.03,356.74,1k1r4/pp2n3/3p4/3P1p2/8/PP6/4q3/1K5r w - - 2 37
turbo4,9,1,1,2,85,10,3,416.29,416.13,7R/3kR1p1/7p/1K1P1N2/2P5/1P6/3N2PP/8 b - - 4 43
turbo4,10,2,2,1,141,1,3,683.97,703.56,8/8/2R5/8/8/3kQK2/8/8 b - - 10 71
turbo4,11,1,1,2,93,9,5,455.94,455.79,1k4R1/7R/8/1p2pp2/p2N4/3P1P2/PPPK4/8 b - - 1 47
turbo4,12,1,2,1,126,5,2,604.65,624.28,8/7p/2k5/6p1/7P/6n1/5q2/7K w - - 1 64
turbo4,13,2,1,2,56,11,6,267.63,277.49,6k1/1p4r1/p7/2P5/3n4/2Nq4/PP1P1PPP/RKB5 w - - 2 29
turbo4,14,1,2,1,42,11,7,198.19,208.10,5kr1/1pp2p1p/p1p5/8/1Pb5/B1N5/P5PP/3nr2K w - - 2 22
turbo4,15,2,1,2,58,8,9,277.53,287.39,8/p5p1/P2kNp2/3n3p/5p2/4b2P/4P1P1/2rK1B1R w - - 1 30
turbo4,16,1,2,1,82,8,2,406.40,406.25,8/p4kp1/4p1p1/2p2b2/5q1K/8/7P/8 w - - 0 42
