tag,game_id,winner,white,black,half_turns,engine1_pieces,engine2_pieces,engine1_time,engine2_time,end_state
turbo5_timed_10000,1,1,1,2,55,11,4,267.64,267.56,4rk1B/2p5/5Q1N/3R4/3P4/1nK5/1P3PPP/7R b - - 4 28
turbo5_timed_10000,2,1,2,1,74,10,3,366.68,366.57,2r2k1r/p7/1p1p1p2/6pp/7K/6P1/R7/6n1 w - g6 0 38
turbo5_timed_10000,3,1,1,2,69,11,3,336.98,336.92,1Q2k3/3R4/4p3/1B6/1P2p1N1/2P1P2P/4KP1P/8 b - - 0 35
turbo5_timed_10000,4,1,2,1,82,10,4,406.33,406.27,6k1/p3n3/4n2p/1p2p3/1P5P/P1Kr4/4qb2/8 w - - 4 42
turbo5_timed_10000,5,1,1,2,67,10,5,327.07,326.92,1k6/1Q6/1p6/p1PB3p/6p1/P7/3K1PPP/6NR b - - 1 34
turbo5_timed_10000,6,2,2,1,107,3,4,515.42,535.04,2k2Q2/8/2K5/4p3/3P2P1/7p/8/8 b - - 1 54
turbo5_timed_10000,7,2,1,2,82,10,6,396.45,406.29,8/p5k1/1N3pp1/6Kb/5P2/2P1P2P/PP3q2/R3R3 w - - 0 42
turbo5_timed_10000,8,1,2,1,72,13,3,346.92,356.67,4kb1r/p4npp/1pp1p3/8/5p2/1qP5/1P6/1K1r4 w k - 5 37
turbo5_timed_10000,9,1,1,2,75,9,4,366.67,366.64,8/3R3p/1r4k1/3b2Q1/1P3P2/8/P5PP/5RK1 b - - 3 38
turbo5_timed_10000,10,2,2,1,95,5,6,455.92,475.59,8/8/2Q5/p7/kpp1P3/2P3p1/PKP5/8 b - - 1 48
turbo5_timed_10000,11,1,1,2,77,13,3,376.64,376.59,7k/1R3Q2/3p4/3P4/r5P1/B1P2P2/PP1K1PP1/7R b - - 0 39
turbo5_timed_10000,12,2,2,1,69,6,5,317.15,346.77,6kr/7p/4QKpB/p7/8/2p5/P6P/8 b - - 3 35
turbo5_timed_10000,13,2,1,2,92,6,5,446.02,455.81,6k1/8/2b2p1B/8/2P5/5P2/2q3rP/2K2R2 w - - 5 47
turbo5_timed_10000,14,2,2,1,77,9,8,366.75,386.42,r1b1kr2/ppBp4/3N4/P2P1N2/1P5p/8/2K2p1R/8 b - - 3 39
turbo5_timed_10000,15,1,1,2,73,12,4,356.77,356.69,8/N2R3r/3R3k/6pp/2N4P/1P2P3/PB3PP1/2K5 b - - 1 37
turbo5_timed_10000,16,1,2,1,94,7,2,446.04,465.74,8/1k1n3p/3p2p1/3R2K1/1r6/4b3/8/8 w - - 3 48
turbo5_timed_10000,17,1,1,2,167,6,1,812.75,822.36,1Q6/Q7/2k2K2/1Q6/4P3/7P/8/8 b - - 8 84
turbo5_timed_10000,18,1,2,1,138,4,1,683.89,683.72,8/8/8/5p2/8/2q4k/K7/q7 w - - 2 70
turbo5_timed_10000,19,2,1,2,106,7,5,515.33,525.12,8/6k1/2N5/8/1P3p1p/2P3nP/P4KP1/5r2 w - - 2 54
turbo5_timed_10000,20,2,2,1,53,10,8,257.64,267.54,rnb1r2k/pp1p1Q2/2p1p1N1/4P3/8/8/P1PK3P/3R4 b - - 2 27
turbo5_timed_10000,21,1,1,2,69,12,4,336.99,336.88,8/2p5/p1P3Qk/8/3PB2b/4P3/2P2PPP/3RK2R b K - 0 35
turbo5_timed_10000,22,1,2,1,88,9,4,426.15,436.00,1k6/5ppp/p2p4/1p6/5qP1/7P/4R3/2r1K3 w - - 8 45
turbo5_timed_10000,23,2,1,2,80,6,9,386.58,396.30,6k1/5pp1/2P1p2p/7P/P1p2P2/8/1r4P1/K1rn4 w - - 5 41
turbo5_timed_10000,24,1,2,1,170,5,1,832.57,842.28,8/p7/8/6p1/7p/8/5kqK/8 w - - 2 86
turbo5_timed_10000,25,2,1,2,76,9,7,366.76,376.52,Q2b4/p4pk1/1p6/5P2/2P1P1Kq/3p1R2/PP1N4/8 w - - 0 39
turbo5_timed_10000,26,1,2,1,108,9,2,515.42,534.99,1k4r1/1p6/n2p4/5p1p/8/5q2/7K/5Nb1 w - - 2 55
turbo5_timed_10000,27,1,1,2,67,10,5,327.09,326.96,2R1k2r/6R1/1B3p2/4pN2/1p6/7P/PP3P1P/4K3 b - - 1 34
turbo5_timed_10000,28,1,2,1,58,12,7,287.42,287.39,rn3r2/p4ppk/2p5/1P2n3/p6P/P5P1/1bKPP3/2q5 w - - 1 30
turbo5_timed_10000,29,1,1,2,73,10,1,346.85,356.65,7k/5Q2/8/1P4P1/7R/8/P3PPP1/2K2B2 b - - 0 37
turbo5_timed_10000,30,1,2,1,52,13,6,247.78,257.63,3r2k1/pbp1n2p/np2p1p1/8/8/P7/2PpKPPR/4q3 w - - 2 27
turbo5_timed_10000,31,1,1,2,119,5,2,584.80,584.64,7Q/6R1/4K1k1/4P3/2P5/8/8/1r6 b - - 0 60
turbo5_timed_10000,32,1,2,1,48,13,2,218.03,237.80,1nb4r/1p2p1kp/4p1p1/1p5P/8/7K/6r1/b6q w - - 2 25
turbo5_timed_10000,33,1,1,2,63,7,5,307.23,307.22,kR6/1R6/r1pN2B1/8/3p4/p7/6PP/2K5 b - - 0 32
