case,case_name,depth,time,nodes,branching,cutoffs,checkmates,draws,dynamic_allocs
0,Start state,1,0.00,21,20.00,0.00,0,0,2
0,Start state,2,0.00,205,20.00,1.74,0,0,0
0,Start state,3,0.01,2802,20.33,1.92,0,0,3
0,Start state,4,0.09,24888,20.78,6.96,0,0,0
0,Start state,5,0.61,220160,21.24,5.37,0,0,1
0,Start state,6,6.44,3135482,22.70,8.36,0,0,0
1,Early game 1,1,0.00,7,6.00,0.00,0,0,0
1,Early game 1,2,0.00,180,24.90,0.41,0,0,0
1,Early game 1,3,0.01,1875,30.56,7.91,0,0,0
1,Early game 1,4,0.04,13531,36.14,15.49,0,0,0
1,Early game 1,5,0.55,211492,34.52,12.55,0,0,0
1,Early game 1,6,4.28,1882719,39.00,22.05,1,0,0
2,Early game 2,1,0.00,49,48.00,0.00,0,0,0
2,Early game 2,2,0.00,556,45.02,4.86,0,0,0
2,Early game 2,3,0.02,11074,45.52,12.18,0,0,0
2,Early game 2,4,0.11,50063,45.65,15.94,0,0,0
2,Early game 2,5,3.04,1749425,43.91,22.51,1,0,0
2,Early game 2,6,39.62,19632972,44.29,26.24,1184,0,0
3,Mid game 1,1,0.00,34,33.00,0.00,0,0,0
3,Mid game 1,2,0.00,339,26.28,2.56,0,0,0
3,Mid game 1,3,0.01,6051,30.20,7.50,0,0,0
3,Mid game 1,4,0.06,48567,23.95,8.45,0,0,0
3,Mid game 1,5,0.79,658872,30.71,10.12,0,0,0
3,Mid game 1,6,7.71,5627462,23.04,12.11,0,0,0
4,Mid game 2,1,0.00,31,30.00,0.00,0,0,0
4,Mid game 2,2,0.00,111,25.75,7.49,0,0,0
4,Mid game 2,3,0.00,2269,22.75,1.85,0,0,0
4,Mid game 2,4,0.04,15987,22.74,13.35,0,0,0
4,Mid game 2,5,0.20,164970,24.60,3.66,0,0,0
4,Mid game 2,6,1.36,609601,22.52,16.77,3,0,0
5,Late game 1,1,0.00,15,14.00,0.00,0,0,0
5,Late game 1,2,0.00,88,14.30,1.56,0,0,0
5,Late game 1,3,0.00,447,13.94,1.91,0,0,0
5,Late game 1,4,0.00,2492,16.21,5.94,0,0,0
5,Late game 1,5,0.02,18544,14.77,6.62,1,0,0
5,Late game 1,6,0.13,85467,16.47,9.22,0,0,0
6,Late game 2,1,0.00,40,39.00,0.00,0,0,0
6,Late game 2,2,0.00,237,16.18,0.47,0,0,0
6,Late game 2,3,0.01,6689,29.03,0.57,0,0,0
6,Late game 2,4,0.02,10474,9.20,3.93,5,0,0
6,Late game 2,5,0.27,284267,26.79,1.34,8,0,0
6,Late game 2,6,0.55,325669,7.30,4.80,497,19,0
