case,case_name,depth,time,nodes,branching,cutoffs,checkmates,draws,dynamic_allocs
0,Start state,1,0.00,21,20.00,0.00,0,0,1
0,Start state,2,0.00,138,20.00,3.08,0,0,0
0,Start state,3,0.00,1335,21.14,6.63,0,0,2
0,Start state,4,0.06,12210,21.88,9.96,0,0,0
0,Start state,5,0.32,64782,23.10,12.60,0,0,1
0,Start state,6,3.11,810305,24.69,16.52,1,0,0
1,Early game 1,1,0.00,7,6.00,0.00,0,0,0
1,Early game 1,2,0.00,240,11.32,0.12,0,0,0
1,Early game 1,3,0.00,895,18.86,10.00,0,0,0
1,Early game 1,4,0.01,2853,20.86,12.04,0,0,0
1,Early game 1,5,0.04,9921,24.30,17.17,0,0,0
1,Early game 1,6,0.23,52569,27.07,20.50,0,0,0
2,Early game 2,1,0.00,49,48.00,0.00,0,0,0
2,Early game 2,2,0.00,182,46.20,12.64,0,0,0
2,Early game 2,3,0.01,2633,46.78,18.40,0,0,0
2,Early game 2,4,0.04,8740,45.90,26.40,0,0,0
2,Early game 2,5,0.25,70211,45.99,29.82,0,0,0
2,Early game 2,6,1.75,272023,45.85,35.39,0,0,0
3,Mid game 1,1,0.00,34,33.00,0.00,0,0,0
3,Mid game 1,2,0.00,192,29.67,5.61,0,0,0
3,Mid game 1,3,0.00,1750,29.34,8.25,0,0,0
3,Mid game 1,4,0.01,4850,27.12,11.74,0,0,0
3,Mid game 1,5,0.11,41453,27.26,14.78,0,0,0
3,Mid game 1,6,0.63,197861,24.92,16.94,0,0,0
4,Mid game 2,1,0.00,31,30.00,0.00,0,0,0
4,Mid game 2,2,0.00,100,27.11,7.82,0,0,0
4,Mid game 2,3,0.00,1046,26.93,9.02,0,0,0
4,Mid game 2,4,0.03,9375,24.67,15.77,0,0,0
4,Mid game 2,5,0.13,42874,25.42,17.88,0,0,0
4,Mid game 2,6,0.74,193585,24.10,19.25,0,0,0
5,Late game 1,1,0.00,15,14.00,0.00,0,0,0
5,Late game 1,2,0.00,45,13.69,4.63,0,0,0
5,Late game 1,3,0.00,463,13.29,5.31,0,0,0
5,Late game 1,4,0.00,986,14.86,8.47,0,0,0
5,Late game 1,5,0.01,4142,15.05,9.60,0,0,0
5,Late game 1,6,0.04,10777,16.53,12.58,0,0,0
6,Late game 2,1,0.00,40,39.00,0.00,0,0,0
6,Late game 2,2,0.00,122,25.93,2.16,0,0,0
6,Late game 2,3,0.00,1842,25.93,2.29,0,0,0
6,Late game 2,4,0.01,5168,17.49,2.67,5,0,0
6,Late game 2,5,0.10,49565,17.78,2.71,8,0,0
6,Late game 2,6,0.50,224354,11.61,3.67,186,10,0
